comparison,metric_level,group_a,n_a,agree_a,disagree_a,rate_a,group_b,n_b,agree_b,disagree_b,rate_b,risk_difference,risk_difference_ci_low,risk_difference_ci_high,risk_difference_ci_method,risk_ratio,risk_ratio_ci_low,risk_ratio_ci_high,risk_ratio_ci_method,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,odds_ratio_ci_method,fisher_odds_ratio,fisher_p_value,fisher_alternative,permutation_p_value,permutations,permutation_seed
procedural_vs_nonprocedural,family,procedural,34,6,28,0.1764705882,nonprocedural,66,35,31,0.5303030303,-0.3538324421,-0.5020246114,-0.1556631885,Newcombe hybrid score interval (Wilson-based),0.3327731092,0.1555029257,0.7121277093,log risk ratio Wald (Katz) interval,0.1897959184,0.0694362237,0.5187852780,Woolf log odds ratio interval,0.1897959184,0.0006323200,two-sided,0.0011998800,10000,20260906
procedural_vs_llm_mirror,family,procedural,34,6,28,0.1764705882,llm_mirror,64,35,29,0.5468750000,-0.3704044118,-0.5189377657,-0.1707802325,Newcombe hybrid score interval (Wilson-based),0.3226890756,0.1509712169,0.6897224629,log risk ratio Wald (Katz) interval,0.1775510204,0.0646815995,0.4873776328,Woolf log odds ratio interval,0.1775510204,0.0004979355,two-sided,0.0006999300,10000,20260906
procedural_vs_nonprocedural,fine,procedural,34,6,28,0.1764705882,nonprocedural,66,35,31,0.5303030303,-0.3538324421,-0.5020246114,-0.1556631885,Newcombe hybrid score interval (Wilson-based),0.3327731092,0.1555029257,0.7121277093,log risk ratio Wald (Katz) interval,0.1897959184,0.0694362237,0.5187852780,Woolf log odds ratio interval,0.1897959184,0.0006323200,two-sided,0.0013998600,10000,20260906
procedural_vs_llm_mirror,fine,procedural,34,6,28,0.1764705882,llm_mirror,64,35,29,0.5468750000,-0.3704044118,-0.5189377657,-0.1707802325,Newcombe hybrid score interval (Wilson-based),0.3226890756,0.1509712169,0.6897224629,log risk ratio Wald (Katz) interval,0.1775510204,0.0646815995,0.4873776328,Woolf log odds ratio interval,0.1775510204,0.0004979355,two-sided,0.0006999300,10000,20260906
