analysis_population,corpus,metric_level,n,agreements,agreement_rate,kappa,definition
aidev_primary_fine,AIDev,fine,49,31,0.6326530612,0.5827814570,"AIDev cases where BOTH reviewers assigned a technical pattern (failure_pattern != ""UNASSIGNED"" on both sides); the source study rule in AIBugAnalysis@scripts/analyze_dual_reviews.py (both_pattern)"
aidev_primary_family,AIDev,family,49,36,0.7346938776,0.6575268817,"AIDev cases where BOTH reviewers assigned a technical pattern (failure_pattern != ""UNASSIGNED"" on both sides); the source study rule in AIBugAnalysis@scripts/analyze_dual_reviews.py (both_pattern)"
aidev_all100_fine,AIDev,fine,100,65,0.6500000000,0.5531154239,"All 100 reviewed AIDev cases, sorted by case_id, comparing the raw failure_pattern strings with ""UNASSIGNED"" kept as an ordinary label (so UNASSIGNED vs UNASSIGNED counts as an agreement); the source study rule in AIBugAnalysis@scripts/compare_reviews.py (cross_model pattern)"
aidev_all100_family_derived,AIDev,family_keep_unassigned,100,70,0.7000000000,0.6005858075,"DERIVED VARIANT, not a source-study number: all 100 reviewed AIDev cases with non-UNASSIGNED labels mapped through the frozen fine -> family mapping and UNASSIGNED carried through unchanged as its own label. The source study reports no family-level all-100 figure."
swesmith_fine,SWE-smith,fine,100,41,0.4100000000,0.2535425101,"All 100 frozen SWE-smith cases; the SWE-smith review schema has no UNASSIGNED value, so no exclusion rule applies"
swesmith_family,SWE-smith,family,100,41,0.4100000000,0.2420349435,"All 100 frozen SWE-smith cases; the SWE-smith review schema has no UNASSIGNED value, so no exclusion rule applies"
